datetime,price,type
2025-07-24T12:00:00.000000000,0.90088,High
2025-07-24T21:00:00.000000000,0.89781,Low
2025-07-25T00:00:00.000000000,0.89986,High
2025-07-25T11:00:00.000000000,0.89682,Low
2025-07-28T01:00:00.000000000,0.90145,High
2025-07-28T16:00:00.000000000,0.8938,Low
2025-07-29T06:00:00.000000000,0.89656,High
2025-07-29T07:00:00.000000000,0.8937,Low
2025-07-30T01:00:00.000000000,0.89823,High
2025-07-30T19:00:00.000000000,0.888,Low
2025-07-31T06:00:00.000000000,0.89439,High
2025-07-31T21:00:00.000000000,0.88876,Low
2025-08-01T12:30:00.000000000,0.89538,High
2025-08-01T17:00:00.000000000,0.88875,Low
2025-08-04T09:30:00.000000000,0.89346,High
2025-08-04T21:30:00.000000000,0.88947,Low
2025-08-05T00:00:00.000000000,0.89166,High
2025-08-05T04:00:00.000000000,0.88987,Low
2025-08-05T13:00:00.000000000,0.89279,High
2025-08-05T14:00:00.000000000,0.88971,Low
2025-08-05T16:30:00.000000000,0.89242,High
2025-08-05T21:00:00.000000000,0.8888,Low
2025-08-06T12:00:00.000000000,0.89489,High
2025-08-06T21:00:00.000000000,0.89217,Low
2025-08-07T08:00:00.000000000,0.89753,High
2025-08-07T15:00:00.000000000,0.89303,Low
2025-08-07T22:00:00.000000000,0.89668,High
2025-08-08T01:00:00.000000000,0.89505,Low
2025-08-08T15:00:00.000000000,0.8979,High
2025-08-11T00:00:00.000000000,0.89585,Low
2025-08-11T16:30:00.000000000,0.89802,High
2025-08-11T21:00:00.000000000,0.89581,Low
2025-08-12T03:30:00.000000000,0.89862,High
2025-08-12T12:30:00.000000000,0.89415,Low
2025-08-12T19:00:00.000000000,0.89976,High
2025-08-12T21:00:00.000000000,0.89739,Low
2025-08-13T09:30:00.000000000,0.90242,High
2025-08-13T21:00:00.000000000,0.89886,Low
2025-08-14T01:30:00.000000000,0.9027,High
2025-08-14T15:30:00.000000000,0.89528,Low
2025-08-15T15:30:00.000000000,0.9003,High
2025-08-17T21:30:00.000000000,0.89811,Low
2025-08-18T05:00:00.000000000,0.90031,High
2025-08-18T21:00:00.000000000,0.89496,Low
2025-08-19T01:00:00.000000000,0.89686,High
2025-08-19T06:00:00.000000000,0.89461,Low
2025-08-19T12:30:00.000000000,0.89739,High
2025-08-20T14:30:00.000000000,0.89077,Low
2025-08-21T00:00:00.000000000,0.89285,High
2025-08-21T05:00:00.000000000,0.89027,Low
2025-08-21T14:00:00.000000000,0.89335,High
2025-08-21T21:00:00.000000000,0.89159,Low
2025-08-22T02:30:00.000000000,0.89418,High
2025-08-22T06:00:00.000000000,0.89261,Low
2025-08-22T15:00:00.000000000,0.89907,High
2025-08-24T21:00:00.000000000,0.89554,Low
2025-08-24T22:00:00.000000000,0.89765,High
2025-08-25T01:30:00.000000000,0.89577,Low
2025-08-25T06:00:00.000000000,0.8991,High
2025-08-25T09:30:00.000000000,0.89701,Low
2025-08-25T15:00:00.000000000,0.89926,High
2025-08-25T21:00:00.000000000,0.89693,Low
2025-08-26T00:00:00.000000000,0.89925,High
2025-08-26T03:00:00.000000000,0.89663,Low
2025-08-26T12:00:00.000000000,0.89878,High
2025-08-26T13:30:00.000000000,0.89744,Low
