filename,(¦h?)
,
¦æ??,
Basic Setting,
DD Reduction Algorithm,
Direction Control 1,
Direction Control Setting,
Display Setting,
Entry Settings,
Entry System Main Setting,
Exit General Setting,
Exit Settings,
Filter Settings,
General Setting,
Lot,
Lot Manage,
Martingala,
Martingala Manage,
Risk Control Settings,
Visual Setting,
??,
